URL,Rate,NameResort,Stars,KmFreeride,Continent,Country,State/Province,Altitude,Easy,Intermediate,Difficult,Adult,Currency,SkiResortSize ,VarietyOfRuns,LiftsAndCableCars,SnowReliability,OnSiteParking,InformationBoardsSignPostings,CleanlinessAndHygiene,EnvironmentallyFriendly,MountainRestaurants,ApresSki,AccommodationAtSlopesAndLifts,FamiliesAndChildren,Beginners,SnowParks,CrossCountryTrails,Country,Latitude,Longitude,TotalKms
http://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,4.2,Großglockner Resort Kals-Matrei,5.0,0.0,Europe,Austria,Tyrol (Tirol),2422.0,8.5,22.5,6.0,"46,50",European Euro,"3,0",5.0,"4,0",4.0,"3,0","4,0","4,0","4,0","5,0","3,0","4,0","5,0","4,0","3,0","4,0",AT,47.516231,14.550072,37
http://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/,4.2, Nauders am Reschenpass – Bergkastel,4.0,11.0,Europe,Austria,Tyrol (Tirol),2740.0,24.0,34.0,13.0,41,European Euro,"3,0",4.0,"4,0",4.0,"4,0","5,0","5,0","4,0","4,0","3,0","2,0","5,0","4,0","3,0","4,0",AT,47.516231,14.550072,71
http://www.skiresort.info/ski-resort/nassfeld-hermagor/,4.2, Nassfeld – Hermagor,4.0,0.0,Europe,Austria,Carinthia (Karnten),2002.0,30.0,69.0,11.0,47,European Euro,"4,0",5.0,"4,0",4.0,"3,0","5,0","4,0","3,0","4,0","4,0","5,0","5,0","3,0","4,0","4,0",AT,47.516231,14.550072,110
http://www.skiresort.info/ski-resort/kuehtai/,4.1, Kühtai,4.0,0.0,Europe,Austria,Tyrol (Tirol),2520.0,6.0,26.2,8.8,39,European Euro,"3,0",4.0,"4,0",5.0,"3,0","4,0","4,0","4,0","4,0","3,0","5,0","4,0","3,0","4,0","3,0",AT,47.516231,14.550072,41
http://www.skiresort.info/ski-resort/stubai-glacier-stubaier-gletscher/,4.1, Stubai Glacier (Stubaier Gletscher),4.0,0.0,Europe,Austria,Tyrol (Tirol),3212.0,19.0,15.0,4.0,47,European Euro,"3,0",5.0,"4,0",5.0,"3,0","5,0","5,0","4,0","4,0","4,0","2,0","5,0","5,0","5,0","2,0",AT,47.516231,14.550072,38
http://www.skiresort.info/ski-resort/grossarltaldorfgastein/,4.1, Großarltal/Dorfgastein,4.0,9.7,Europe,Austria,Salzburg (Salzburger Land),2033.0,25.5,43.1,1.5,"51,50",European Euro,"4,0",4.0,"5,0",4.0,"4,0","4,0","4,0","3,0","5,0","4,0","4,0","5,0","4,0","4,0","3,0",AT,47.516231,14.550072,70
http://www.skiresort.info/ski-resort/zauchenseeflachauwinkl/,4.1, Zauchensee/Flachauwinkl,4.0,3.5,Europe,Austria,Salzburg (Salzburger Land),2176.0,23.5,16.2,4.3,"51,50",European Euro,"3,0",4.0,"5,0",5.0,"5,0","4,0","5,0","4,0","4,0","4,0","4,0","4,0","5,0","2,0","3,0",AT,47.516231,14.550072,44
http://www.skiresort.info/ski-resort/almenwelt-lofer/,4.0,. Almenwelt Lofer,3.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1670.0,32.0,12.0,2.0,42,European Euro,"3,0",4.0,"4,0",4.0,"3,0","3,0","4,0","4,0","4,0","3,0","3,0","5,0","4,0","3,0","3,0",AT,47.516231,14.550072,46
http://www.skiresort.info/ski-resort/lermoos-grubigstein/,4.0, Lermoos – Grubigstein,4.0,1.7,Europe,Austria,Tyrol (Tirol),2100.0,12.8,12.6,1.9,44,European Euro,"3,0",4.0,"5,0",4.0,"4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","2,0","4,0",AT,47.516231,14.550072,27
http://www.skiresort.info/ski-resort/golm/,4.0, Golm,4.0,3.2,Europe,Austria,Vorarlberg,2110.0,13.0,12.0,1.5,"47,50",European Euro,"3,0",4.0,"4,0",4.0,"5,0","5,0","4,0","4,0","4,0","3,0","3,0","4,0","3,0","1,0","1,0",AT,47.516231,14.550072,26
